id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
5803,"Lovely room 1, garden, best area, legal rental",9744,Laurie,BROOKLYN,"South slope",40.668290,-73.987790,"Private room",89,4,167,2019-06-24,1.34,3,314
6021,"Wonderful guest bedroom in manhattan for singles",11528,Claudio,MANHATTAN,"Upper west side",40.798260,-73.961130,"Private room",85,2,113,2019-07-05,0.91,1,333
6090,"West village nest - superhost",11975,Alina,MANHATTAN,"West village",40.735300,-74.005250,"Entire home/apt",120,90,27,2018-10-31,0.22,1,0
6848,"Only 2 stops to manhattan studio",15991,"Allen & irina",BROOKLYN,Williamsburg,40.708370,-73.953520,"Entire home/apt",140,2,148,2019-06-29,1.20,1,46
7097,"Perfect for your parents + garden",17571,Jane,BROOKLYN,"Fort greene",40.691690,-73.971850,"Entire home/apt",215,2,198,2019-06-28,1.72,1,321
7322,"Chelsea perfect",18946,Doti,MANHATTAN,Chelsea,40.741920,-73.995010,"Private room",140,1,260,2019-07-01,2.12,1,12
7726,"Hip historic brownstone apartment with backyard",20950,"Adam and charity",BROOKLYN,"Crown heights",40.675920,-73.946940,"Entire home/apt",99,3,53,2019-06-22,4.44,1,21
7750,"Huge 2 br upper east  cental park",17985,Sing,MANHATTAN,"East harlem",40.796850,-73.948720,"Entire home/apt",190,7,0,2000-01-01,0.00,2,249
7801,"Sweet and spacious brooklyn loft",21207,Chaya,BROOKLYN,Williamsburg,40.718420,-73.957180,"Entire home/apt",299,3,9,2011-12-28,0.07,1,0
8024,"Cbg ctybgd helpshaiti rm#1:1-4",22486,Lisel,BROOKLYN,"Park slope",40.680690,-73.977060,"Private room",130,2,130,2019-07-01,1.09,6,347
8025,"Cbg helps haiti room#2.5",22486,Lisel,BROOKLYN,"Park slope",40.679890,-73.977980,"Private room",80,1,39,2019-01-01,0.37,6,364
8110,"Cbg helps haiti rm #2",22486,Lisel,BROOKLYN,"Park slope",40.680010,-73.978650,"Private room",110,2,71,2019-07-02,0.61,6,304
8490,"Maison des sirenes1,bohemian apartment",25183,Nathalie,BROOKLYN,Bedford-stuyvesant,40.683710,-73.940280,"Entire home/apt",120,2,88,2019-06-19,0.73,2,233
8505,"Sunny bedroom across prospect park",25326,Gregory,BROOKLYN,"Windsor terrace",40.655990,-73.975190,"Private room",60,1,19,2019-06-23,1.37,2,85
8700,"Magnifique suite au n de manhattan - vue cloitres",26394,"Claude & sophie",MANHATTAN,Inwood,40.867540,-73.926390,"Private room",80,4,0,2000-01-01,0.00,1,0
9357,"Midtown pied-a-terre",30193,Tommi,MANHATTAN,"Hell's kitchen",40.767150,-73.985330,"Entire home/apt",150,10,58,2017-08-13,0.49,1,75
9518,"Spacious, lovely furnished manhattan bedroom",31374,Shon,MANHATTAN,Inwood,40.864820,-73.921060,"Private room",44,3,108,2019-06-15,1.11,3,311
9657,"Modern 1 br / nyc / east village",21904,Dana,MANHATTAN,"East village",40.729200,-73.985420,"Entire home/apt",180,14,29,2019-04-19,0.24,1,67
9668,"Front room/double bed",32294,"Ssameer or trip",MANHATTAN,Harlem,40.822450,-73.951040,"Private room",50,3,242,2019-06-01,2.04,3,355
9704,"Spacious 1 bedroom in luxe building",32045,Teri,MANHATTAN,Harlem,40.813050,-73.954660,"Private room",52,2,88,2019-06-14,1.42,1,255
9782,"Loft in williamsburg area w/ roof",32169,Andrea,BROOKLYN,Greenpoint,40.722190,-73.937620,"Private room",55,4,197,2019-06-15,1.65,3,284
9783,"Back room/bunk beds",32294,"Ssameer or trip",MANHATTAN,Harlem,40.821300,-73.953180,"Private room",50,3,273,2019-07-01,2.37,3,359
10452,"Large b&b style rooms",35935,Angela,BROOKLYN,Bedford-stuyvesant,40.683100,-73.954730,"Private room",70,1,74,2019-05-12,0.66,2,269
10962,"Lovely room 2 & garden; best area, legal rental",9744,Laurie,BROOKLYN,"South slope",40.668690,-73.987800,"Private room",89,4,168,2019-06-21,1.41,3,340
11452,"Clean and quiet in brooklyn",7355,Vt,BROOKLYN,Bedford-stuyvesant,40.688760,-73.943120,"Private room",35,60,0,2000-01-01,0.00,1,365
11708,"Cute apt in artist's home",44145,Tyrome,BROOKLYN,Bushwick,40.701860,-73.927450,"Entire home/apt",85,2,231,2019-06-22,1.96,2,22
11943,"Country space in the city",45445,Harriet,BROOKLYN,Flatbush,40.637020,-73.963270,"Private room",150,1,0,2000-01-01,0.00,1,365
12048,"Lowereastside apt share shortterm 1",7549,Ben,MANHATTAN,"Lower east side",40.714010,-73.989170,"Shared room",40,1,214,2019-07-05,1.81,4,188
12192,"Enjoy downtown nyc!",46978,Edward,MANHATTAN,"East village",40.722900,-73.981990,"Private room",68,2,245,2019-06-21,2.08,2,96
12299,"Beautiful sunny park slope brooklyn",47610,Abdul,BROOKLYN,"South slope",40.662780,-73.979660,"Entire home/apt",120,3,15,2019-05-27,0.39,1,345
12303,"1bdr w private bath. in lofty apt",47618,Yolande,BROOKLYN,"Fort greene",40.696730,-73.975840,"Private room",120,7,25,2018-09-30,0.23,1,311
12318,"West side retreat",16800,Cyn,MANHATTAN,"Upper west side",40.790090,-73.979270,"Private room",135,4,81,2019-06-16,0.69,1,273
12343,"Best bet in harlem",47727,Earl,MANHATTAN,Harlem,40.811750,-73.944780,"Entire home/apt",150,7,97,2019-06-13,0.84,1,309
12627,"Entire apartment in central brooklyn neighborhood.",49670,Rana,BROOKLYN,"Prospect-lefferts gardens",40.659440,-73.962380,"Entire home/apt",150,29,11,2019-06-05,0.49,1,95
12937,"1 stop fr. manhattan! private suite,landmark block",50124,Orestes,QUEENS,"Long island city",40.747710,-73.947400,"Private room",130,3,248,2019-07-01,2.25,1,215
12940,"Charming brownstone 3 - near pratt",50148,Adreinne,BROOKLYN,Bedford-stuyvesant,40.681110,-73.955910,"Entire home/apt",110,7,61,2019-05-25,0.52,1,265
13050,"Bright and stylish duplex",50846,Jennifer,BROOKLYN,Bedford-stuyvesant,40.685540,-73.940900,"Entire home/apt",115,3,11,2017-01-01,0.10,1,0
13394,"Fort greene brownstone",52335,Alexander,BROOKLYN,"Fort greene",40.691420,-73.973760,"Private room",80,3,135,2019-06-17,1.16,2,192
13808,"Blue room for 2 in brownstone for $1350 monthly",54275,"Jt and tiziana",BROOKLYN,Bedford-stuyvesant,40.680430,-73.939340,"Private room",80,1,112,2019-06-16,1.01,3,251
14287,"Cozy 1bd on central park west in new york city",56094,Joya,MANHATTAN,"Upper west side",40.786350,-73.970080,"Entire home/apt",151,2,73,2019-07-07,0.63,1,302
14290,"* original brooklyn loft *",56104,James,BROOKLYN,Williamsburg,40.704200,-73.935600,"Entire home/apt",228,3,82,2019-05-17,0.70,1,140
14314,"Greenpoint place...has it all!",56246,Jeanne,BROOKLYN,Greenpoint,40.735060,-73.953920,"Entire home/apt",144,2,328,2019-06-29,2.82,1,234
14322,"Beautiful apartment in manhattan!!!",56284,Francesca,MANHATTAN,"Kips bay",40.739610,-73.980740,"Entire home/apt",200,7,19,2019-03-25,0.22,1,257
14377,"Williamsburg 1 bedroom apartment",56512,Joanna,BROOKLYN,Williamsburg,40.708810,-73.959300,"Entire home/apt",150,30,105,2019-06-22,0.90,1,30
14991,"Great location, manhattan bedroom!",59023,Bianca,MANHATTAN,"Lower east side",40.720040,-73.991040,"Private room",110,5,19,2019-05-18,0.17,1,301
15220,"Best location in nyc! times square!",59734,Luiz,MANHATTAN,"Hell's kitchen",40.755310,-73.992930,"Private room",69,2,289,2019-06-09,2.49,2,294
15338,"Room in greenpoint loft w/ roof",32169,Andrea,BROOKLYN,Greenpoint,40.724010,-73.937880,"Private room",49,4,138,2019-06-04,1.19,3,320
15341,"**bright nolita apt w doorman/elevators/gym**",60049,Ted,MANHATTAN,Soho,40.722100,-73.997750,"Entire home/apt",180,30,21,2019-06-29,0.30,1,154
15385,"Very, very cozy place",60252,Cristina,BROOKLYN,Williamsburg,40.711850,-73.962040,"Private room",80,2,42,2019-06-30,0.38,1,263
15396,"Sunny & spacious chelsea apartment",60278,Petra,MANHATTAN,Chelsea,40.746230,-73.995300,"Entire home/apt",375,180,5,2018-11-03,0.12,1,180
15711,"2 bedroom - upper east side-great for kids",61491,D,MANHATTAN,"Upper east side",40.770650,-73.952690,"Entire home/apt",250,2,66,2019-03-30,0.57,2,231
16326,"Comfortable 4-bedroom apt in family house.",63588,Dimitri,BROOKLYN,"Prospect heights",40.678110,-73.964280,"Entire home/apt",200,30,143,2019-01-26,1.33,2,297
16338,"Double room w private deck clinton hill best area",63613,Patricia,BROOKLYN,"Clinton hill",40.690000,-73.967880,"Private room",55,7,27,2017-09-30,0.23,2,292
16421,"Your heaven in hells kitchen",63924,Mark,MANHATTAN,"Hell's kitchen",40.759790,-73.991190,"Private room",52,30,191,2019-05-16,1.65,1,191
16458,"Light-filled 2b duplex in the heart of park slope!",64056,Sara,BROOKLYN,"Park slope",40.673430,-73.983380,"Entire home/apt",225,3,4,2017-09-24,0.16,1,0
16580,"Sunny, modern room in east village!",64442,Reka,MANHATTAN,"East village",40.726490,-73.979040,"Private room",80,1,338,2019-07-01,4.72,2,72
16595,"*haven loft - entire floor - six windows - bricks*",64522,Daniel,BROOKLYN,Williamsburg,40.709330,-73.967920,"Entire home/apt",275,1,148,2019-06-23,1.40,1,362
16821,"Large room in amazing east village apt",4396,Casey,MANHATTAN,"East village",40.722980,-73.984740,"Private room",99,1,106,2019-06-21,1.26,2,336
16974,"Spaha loft: enormous and bright",65837,Robin,MANHATTAN,"East harlem",40.801640,-73.939220,"Entire home/apt",225,4,190,2019-06-23,1.64,1,215
17037,"Lovely ev artist's home",66035,Anna,MANHATTAN,"East village",40.721620,-73.980080,"Entire home/apt",230,9,49,2018-05-14,0.43,1,116
17092,"Cool room in hell's kitchen",66243,Enzo,MANHATTAN,"Hell's kitchen",40.763420,-73.988650,"Private room",51,7,23,2019-06-01,0.43,1,88
17693,"Harlem, new york welcomes you!!",68428,"Tye and etienne",MANHATTAN,"Washington heights",40.831390,-73.940950,"Private room",65,2,49,2019-06-18,1.60,2,336
17747,"Blue trim guest house",68599,George,BROOKLYN,"Clinton hill",40.683460,-73.963740,"Private room",105,2,105,2019-06-26,0.92,1,304
18127,"Charming east village one bedroom flat",69829,Josh,MANHATTAN,"East village",40.728280,-73.988010,"Entire home/apt",190,5,21,2019-01-02,0.20,1,224
18152,"Manhattan room",69942,Victoria,MANHATTAN,"Upper east side",40.768650,-73.950580,"Private room",200,1,142,2019-07-06,1.50,1,322
18198,"Little king of queens",70091,Justin,QUEENS,Woodside,40.750380,-73.903340,"Private room",70,30,25,2019-05-31,0.22,1,324
18590,"Fort greene retreat on the park",71512,Blaise,BROOKLYN,"Fort greene",40.693200,-73.972670,"Private room",95,3,143,2019-06-16,1.28,1,132
18728,"Beautiful meatpacking district loft",71876,"David and rick",MANHATTAN,Chelsea,40.741380,-74.001970,"Private room",150,3,167,2019-05-28,1.65,1,295
18764,"Cozy 2 br in williamsburg",72014,Lulú,BROOKLYN,Williamsburg,40.711540,-73.961120,"Private room",145,3,61,2019-04-22,0.54,4,238
19159,"Spacious luminous apt upper west nyc",73051,Sybilla,MANHATTAN,Harlem,40.829150,-73.951360,"Entire home/apt",110,31,54,2019-03-23,0.49,1,209
19169,"Entire 2 bedroom - large & sunny",73128,Jolynn,MANHATTAN,"Lower east side",40.718510,-73.988920,"Entire home/apt",285,5,70,2019-06-30,0.62,1,328
19282,"Sunny, spacious top floor haven",73469,Gaia,BROOKLYN,Flatbush,40.654010,-73.963230,"Entire home/apt",130,6,16,2019-06-15,0.15,1,38
19319,"Private room great deal at lower east side",44263,Ana,MANHATTAN,"Lower east side",40.711400,-73.987940,"Private room",94,30,94,2019-04-08,0.84,1,188
19601,"Perfect for a family or small group",74303,Maggie,BROOKLYN,"Brooklyn heights",40.697230,-73.992680,"Entire home/apt",800,1,25,2016-08-04,0.24,1,7
19812,"2 bedroom williamsburg apt - bedford l stop",74857,Starlee,BROOKLYN,Williamsburg,40.718330,-73.957480,"Entire home/apt",105,3,61,2018-08-09,0.53,1,272
20299,"Oh glorious spring!",62407,Edward,MANHATTAN,"East village",40.723340,-73.984400,"Private room",60,3,194,2019-06-30,1.73,1,26
20300,"Great location for nyc",76627,Pas,MANHATTAN,"East village",40.729120,-73.980570,"Private room",50,1,2,2016-02-14,0.05,1,0
20611,"Cozy bedroom in williamsburg 3 br",72014,Lulú,BROOKLYN,Williamsburg,40.711560,-73.962180,"Private room",85,3,174,2019-06-22,1.54,4,288
20724,"Sunny room+pvte office in huge loft",961342,Augustin,BROOKLYN,Bushwick,40.700320,-73.938300,"Private room",65,4,24,2019-05-26,0.28,1,317
20734,"Spacious prospect heights apartment",78460,"Sean & lynette",BROOKLYN,"Prospect heights",40.682330,-73.972610,"Entire home/apt",131,4,166,2019-06-27,3.40,1,207
20755,"Large parlor room, landmark home 1 block to pratt",51038,Erica,BROOKLYN,"Clinton hill",40.686340,-73.966000,"Private room",98,7,16,2019-05-31,0.20,6,185
20853,"2-bed brownstone duplex + garden",79070,Tracy,BROOKLYN,"Prospect heights",40.680350,-73.971620,"Entire home/apt",250,7,21,2019-05-21,0.30,1,158
20913,"Charming 1 bed gr8 wburg location!",79402,Christiana,BROOKLYN,Williamsburg,40.709840,-73.957750,"Entire home/apt",100,5,168,2018-07-22,1.57,1,0
21293,"Sunny apartment in artist home",44145,Tyrome,BROOKLYN,Bushwick,40.700930,-73.926090,"Entire home/apt",105,3,118,2019-06-18,1.05,2,9
21456,"Light-filled classic central park",42032,Dana,MANHATTAN,"Upper west side",40.797640,-73.961770,"Entire home/apt",140,3,81,2019-07-07,0.71,1,198
21644,"Upper manhattan, new york",82685,Elliott,MANHATTAN,Harlem,40.828030,-73.947310,"Private room",89,1,1,2018-10-09,0.11,1,365
21794,"Cozy quiet room 4 dooglers!",83257,Olan,MANHATTAN,Chelsea,40.740080,-74.002710,"Private room",98,30,30,2019-05-01,0.27,2,364
22911,"The stuydio modern and light filled",87773,Shelly,BROOKLYN,Bedford-stuyvesant,40.684130,-73.923570,"Entire home/apt",125,7,139,2018-10-28,1.23,2,311
22918,"Loft bed - near transportation-15min to times sq",32294,"Ssameer or trip",MANHATTAN,Harlem,40.822790,-73.951390,"Private room",60,3,11,2019-01-03,0.87,3,219
23135,"House on henry (3rd flr suite)",11481,Annette,BROOKLYN,"Carroll gardens",40.679670,-74.001540,"Entire home/apt",175,2,233,2019-06-24,2.09,3,342
23501,"Monkey retreat manhattan",63318,Meka,MANHATTAN,"Washington heights",40.839270,-73.942810,"Private room",65,2,68,2012-11-01,0.60,1,312
23686,"2000 sf 3br 2bath west village private  townhouse",93790,Ann,MANHATTAN,"West village",40.730960,-74.003190,"Entire home/apt",500,4,46,2019-05-18,0.55,2,243
24143,"Williamsburg—steps to subway, private bath&balcony",97219,Seth,BROOKLYN,Williamsburg,40.713320,-73.941770,"Private room",101,3,335,2019-05-29,3.02,1,152
24285,"Beautiful duplex apartment",97797,Brenda,BROOKLYN,"Park slope",40.669410,-73.981090,"Entire home/apt",220,30,88,2018-11-02,0.79,1,9
25235,"Large 2 bedroom great for groups!",87773,Shelly,BROOKLYN,Bedford-stuyvesant,40.683730,-73.923770,"Entire home/apt",125,90,162,2019-06-28,1.46,2,137
25406,"Modern brooklyn apt., august sublet",105538,Erik,BROOKLYN,Williamsburg,40.714590,-73.948440,"Entire home/apt",80,30,29,2018-05-26,0.40,1,222
25696,"1,800 sq foot in luxury building",107628,Dena,MANHATTAN,Harlem,40.809200,-73.944210,"Private room",100,2,170,2019-06-23,1.61,1,346
26012,"Sunny 2-story brooklyn townhouse w deck and garden",109589,Jessica,BROOKLYN,Gowanus,40.681570,-73.989890,"Entire home/apt",200,30,19,2017-03-17,0.20,1,208
26362,"Times square, safe, clean and cozy!",59734,Luiz,MANHATTAN,"Hell's kitchen",40.755270,-73.992910,"Private room",59,2,334,2019-06-16,3.00,2,279
26520,"Cozy room #3, landmark home 1 block to pratt",51038,Erica,BROOKLYN,"Clinton hill",40.686980,-73.965720,"Private room",125,2,19,2019-06-02,0.20,6,250
26559,"Beautiful apartment east village",112793,Sally,MANHATTAN,"East village",40.728800,-73.981920,"Entire home/apt",140,7,12,2017-12-11,0.13,1,164
26785,"Park slope green guest house",42273,Dani,BROOKLYN,"South slope",40.668530,-73.989120,"Entire home/apt",120,30,467,2018-12-30,4.22,2,192
26933,"2 br / 2 bath duplex apt with patio! east village",72062,Bruce,MANHATTAN,"East village",40.725400,-73.981570,"Entire home/apt",350,2,7,2017-08-09,0.06,4,298
26954,"Nyc fabulous views manhattan's eye",115157,Nimo,MANHATTAN,"Kips bay",40.742940,-73.980090,"Entire home/apt",199,5,38,2015-12-02,0.38,1,260
26969,"2 story family home in williamsburg",115307,Alexandra,BROOKLYN,Williamsburg,40.719420,-73.957480,"Entire home/apt",325,3,324,2019-06-23,3.01,1,107
27006,"Comfortable uws 2-bd family-friendly brownstone",115560,Stacy,MANHATTAN,"Upper west side",40.778230,-73.976370,"Entire home/apt",235,6,27,2019-04-27,0.27,1,199
27385,"Great large 1 br apt  in east village!",72062,Bruce,MANHATTAN,"East village",40.725550,-73.979650,"Entire home/apt",225,1,115,2019-06-07,1.05,4,299
27531,"Eveland private bed & living room w/ own entrance",118971,Evelyn,BROOKLYN,"South slope",40.668310,-73.986040,"Private room",99,2,354,2019-05-20,3.20,3,20
27644,"Sugar hill rest stop",119510,Emma,MANHATTAN,Harlem,40.827540,-73.949190,"Entire home/apt",170,2,195,2019-07-01,2.03,1,318
27659,"3 story town house in park slope",119588,Vero,BROOKLYN,"South slope",40.664990,-73.979250,"Entire home/apt",400,2,16,2018-12-30,0.24,2,216
27759,"Apartment next to central park",119900,Sylvie,MANHATTAN,"Upper west side",40.778420,-73.975560,"Entire home/apt",170,7,13,2019-06-26,0.12,1,224
27883,"East village sanctuary",120223,Jen,MANHATTAN,"East village",40.722450,-73.985270,"Entire home/apt",100,4,25,2011-12-10,0.23,1,0
28321,"Large 1  br in a 3 br brooklyn apt. next to q trn.",65091,Kay,BROOKLYN,"Prospect-lefferts gardens",40.655930,-73.960530,"Private room",75,2,9,2018-10-05,0.08,1,324
28396,"Modern apt with spectacular views",6197784,Jo,BROOKLYN,Williamsburg,40.719230,-73.964680,"Private room",90,1,9,2011-09-18,0.08,1,245
28907,"Garden studio in the upper east sid",124352,Lisa,MANHATTAN,"Upper east side",40.778000,-73.948220,"Entire home/apt",150,5,21,2017-08-15,0.19,1,189
29012,"Secluded master bedroom in beautiful huge apt",124797,"Fernando and lenin",MANHATTAN,"Washington heights",40.858790,-73.931280,"Private room",85,15,36,2017-08-17,0.33,1,307
29013,"B & b room 1",35935,Angela,BROOKLYN,Bedford-stuyvesant,40.683320,-73.954700,"Private room",70,3,63,2019-05-14,0.58,2,310
29455,"Accommodations galore #1",126607,Laurine,MANHATTAN,Harlem,40.816180,-73.948940,"Entire home/apt",120,3,155,2019-06-20,1.42,3,213
29628,"Sunny room in new condo",127608,Chris,BROOKLYN,"Clinton hill",40.684140,-73.963510,"Private room",89,3,260,2019-07-03,2.35,1,278
29683,"Stylish & sleek apartment near soho!",125857,Uli,MANHATTAN,"East village",40.723920,-73.991430,"Entire home/apt",185,5,73,2019-06-25,0.66,1,209
30031,"Nyc artists’ loft with roof deck",129352,Sol,BROOKLYN,Greenpoint,40.734940,-73.950300,"Private room",50,3,193,2019-05-20,1.86,1,0
30927,"Unique & charming small 1br apt. les",120335,Cs,MANHATTAN,"Lower east side",40.713410,-73.988560,"Entire home/apt",105,3,32,2019-06-14,0.29,1,16
31130,"Most central location!",117287,Lara,MANHATTAN,"Hell's kitchen",40.767540,-73.983990,"Private room",130,2,50,2019-05-26,0.45,3,234
31555,"Luminous beautiful west village studio",135619,Tom,MANHATTAN,"West village",40.734420,-74.003030,"Entire home/apt",115,29,26,2019-07-01,0.25,1,12
31902,"Sanctuary in east flatbush",137292,Sunder,BROOKLYN,Flatlands,40.631880,-73.932480,"Private room",77,2,2,2019-01-01,0.02,1,178
31994,"Room with en suite bathroom & deck",137814,Waldemar,BROOKLYN,"Clinton hill",40.687300,-73.963400,"Private room",76,2,426,2019-06-24,3.89,3,275
32023,"Flat macdonough",137974,Khem,BROOKLYN,Bedford-stuyvesant,40.682960,-73.936620,"Entire home/apt",125,3,227,2019-06-23,2.09,2,163
32037,"Huge private  floor at the waverly",116599,Sahr,BROOKLYN,"Clinton hill",40.686300,-73.967650,"Private room",135,4,84,2019-07-01,0.77,3,365
32100,"Modern greenpoint, brooklyn apt",138579,Ali+scott,BROOKLYN,Greenpoint,40.734090,-73.953480,"Entire home/apt",250,29,3,2017-07-30,0.03,1,34
32289,"Sun-drenched, artsy modernist 1 bdrm duplex",139612,Elisabeth,BROOKLYN,Williamsburg,40.715610,-73.948350,"Entire home/apt",199,3,10,2018-06-11,0.10,1,280
32331,"Sunny, cobble hill apartment",139874,Sarah,BROOKLYN,"Cobble hill",40.685700,-73.991830,"Entire home/apt",140,2,4,2016-04-24,0.04,1,0
32363,"Fully furnished basement apartment",140025,Fredah,QUEENS,Flushing,40.740280,-73.831680,"Private room",140,2,1,2011-09-19,0.01,1,1
32965,"Flat macdonough garden",137974,Khem,BROOKLYN,Bedford-stuyvesant,40.682810,-73.935240,"Entire home/apt",115,3,124,2019-06-20,1.72,2,170
32969,"Light filled williamsburg apartment",142833,Katherine,BROOKLYN,Williamsburg,40.715960,-73.939380,"Entire home/apt",160,3,11,2019-07-02,0.11,1,188
33009,"Retreat in williamsburg",143027,Ming,BROOKLYN,Williamsburg,40.714920,-73.959350,"Entire home/apt",195,4,240,2019-06-17,2.19,1,214
33014,"Nyc zen",143048,Paula,MANHATTAN,"East village",40.723540,-73.982950,"Entire home/apt",195,3,30,2019-06-17,0.28,1,248
33223,"Cozy br in wiliamsburg 3 bedroom",72014,Lulú,BROOKLYN,Williamsburg,40.711650,-73.960870,"Private room",80,3,200,2019-06-22,1.86,4,262
34760,"Sunny room in old historical brooklyn townhouse",149929,Obed,BROOKLYN,"Fort greene",40.691010,-73.973120,"Private room",44,8,27,2019-06-29,1.05,5,280
35526,"Sun filled classic west village apt",120291,Karen,MANHATTAN,"West village",40.734740,-74.001010,"Private room",156,4,79,2019-06-22,0.74,1,307
36121,"Lg rm in historic prospect heights",62165,Michael,BROOKLYN,"Prospect heights",40.673860,-73.966410,"Private room",85,15,9,2013-05-10,0.09,1,339
36133,"Classic artist loft williamsburg",142684,White,BROOKLYN,Williamsburg,40.715360,-73.960570,"Private room",125,3,155,2019-06-13,1.61,1,1
36442,"Great location. spacious on prospect park",137432,Paz,BROOKLYN,"Prospect heights",40.674100,-73.965950,"Entire home/apt",115,15,4,2018-08-27,0.05,1,269
36647,"Private bdrm/bathrm. new! elevator!",157798,Irene,MANHATTAN,"East harlem",40.792950,-73.939970,"Private room",69,2,34,2017-05-29,0.32,1,10
36703,"Sunny, clean 1 bdrm in w. village",158284,Karene,MANHATTAN,"West village",40.732260,-74.004010,"Entire home/apt",225,45,134,2019-03-31,1.24,1,312
36934,"Great location in williamsburg",159370,Viviana,BROOKLYN,Williamsburg,40.713630,-73.963980,"Entire home/apt",125,6,27,2018-12-27,0.25,1,189
38638,"Light and airy upper east side 1 bdr apartment",92788,Sara,MANHATTAN,"Upper east side",40.777110,-73.952700,"Entire home/apt",219,4,126,2019-06-26,1.16,2,290
38663,"Luxury brownstone in boerum hill",165789,Sarah,BROOKLYN,"Boerum hill",40.685590,-73.980940,"Entire home/apt",475,3,23,2018-12-31,0.27,1,230
39267,"Central park loft all for you",168417,Marie,MANHATTAN,"Upper east side",40.774560,-73.953230,"Entire home/apt",99,1,234,2019-06-08,2.60,2,164
39282,"Indie-chic share in williamsburg",168525,Gus,BROOKLYN,Williamsburg,40.710880,-73.950550,"Private room",69,4,202,2019-05-28,1.86,2,53
39593,"A room w/ a manhattan view, longer stay",110506,Myung,QUEENS,Sunnyside,40.745590,-73.923130,"Private room",79,30,28,2019-04-12,0.26,1,126
39704,"Private, large & sunny 1br w/w&d",170510,Renée,BROOKLYN,Bedford-stuyvesant,40.683060,-73.946590,"Entire home/apt",135,2,309,2019-06-22,2.86,2,3
40039,"Luxurious condo in dubmo with view",171851,Henry,BROOKLYN,Dumbo,40.702070,-73.985710,"Private room",250,3,14,2011-04-25,0.13,1,189
40453,"Charming & cozy midtown loft any week ends  !!!",174025,Sylvia,MANHATTAN,"Upper east side",40.761230,-73.964200,"Entire home/apt",250,3,4,2016-09-23,0.08,1,365
41348,"* spacious garden park slope duplex* 6 people max",180083,Syl,BROOKLYN,Gowanus,40.668580,-73.990830,"Entire home/apt",250,2,80,2019-07-06,2.17,1,0
41513,"Convenient cozy cheap apt manhattan",181167,Lorenzo,MANHATTAN,Harlem,40.827040,-73.949070,"Entire home/apt",80,3,2,2015-11-02,0.04,1,0
42580,"Parlor room in victorian townhouse",137814,Waldemar,BROOKLYN,"Clinton hill",40.688430,-73.964080,"Private room",70,2,294,2019-06-24,3.47,3,336
42729,"House on henry (2nd flr suite)",11481,Annette,BROOKLYN,"Carroll gardens",40.678300,-74.001350,"Entire home/apt",165,2,150,2019-06-18,1.40,3,342
42882,"New york room with a view",185978,Newyorkroomwithaview,"STATEN ISLAND","St. george",40.645240,-74.080880,"Private room",70,2,166,2019-06-13,1.66,1,312
43957,"Sunny cozy room in brklyn townhouse",177536,Tessa,BROOKLYN,Bushwick,40.706410,-73.917650,"Private room",50,2,47,2019-06-19,0.94,1,37
44096,"Room with a view",190409,Waundell,BRONX,Highbridge,40.832320,-73.931840,"Private room",40,1,219,2019-07-04,2.04,3,353
